age,gender,occupation,donation_frequency,donation_start_date,is_credit_card,amount,is_instant_pay,is_email_verified,is_address_verified,sign_up_date,sign_up_channel,is_cancel
30,Female,Other,Monthly,16/01/2018,1,38,0,1,1,3/01/2018,Street,0
31,Female,Hospitality Worker,Monthly,15/01/2018,0,30,0,1,1,3/01/2018,Door to Door,0
35,Male,IT Professional,Monthly,1/02/2018,1,30,0,1,1,3/01/2018,Door to Door,0
33,Male,IT Professional,Monthly,15/01/2018,0,25,0,1,1,3/01/2018,Door to Door,0
30,Male,Chef,Monthly,15/01/2018,1,38,0,1,1,3/01/2018,Door to Door,0
35,Female,Other,Monthly,15/01/2018,1,38,0,1,1,3/01/2018,Door to Door,1
37,Male,IT Professional,Monthly,15/01/2018,1,30,0,1,1,3/01/2018,Door to Door,1
41,Female,Finance Controller,Monthly,15/02/2018,1,30,0,1,1,4/01/2018,Street,0
46,Female,Banking & Finance,Monthly,16/01/2018,1,30,0,1,1,4/01/2018,Street,0
34,Male,Arquitect,Monthly,1/02/2018,1,25,0,1,1,4/01/2018,Street,0
31,Male,Factory Worker,Monthly,15/01/2018,1,25,0,1,1,4/01/2018,Door to Door,0
27,Male,Factory Worker,Monthly,15/01/2018,1,30,0,1,1,4/01/2018,Door to Door,0
34,Male,Construction Worker,Monthly,15/01/2018,1,35,0,1,1,4/01/2018,Door to Door,0
36,Male,Self Employment,Monthly,16/01/2018,1,40,0,1,1,4/01/2018,Door to Door,1
102,Female,Other,Monthly,15/01/2018,1,25,0,1,1,4/01/2018,Door to Door,1
42,Female,Service,Monthly,1/02/2018,1,25,0,1,1,5/01/2018,Street,0
52,Male,Other,Monthly,1/02/2018,1,20,0,1,1,5/01/2018,Street,0
91,Female,Other,Monthly,16/02/2018,1,20,0,1,1,5/01/2018,Street,0
58,Male,Health Professional,Monthly,15/02/2018,1,30,0,0,1,5/01/2018,Door to Door,0
101,Male,Other,Monthly,16/02/2018,1,20,0,1,1,5/01/2018,Street,0
48,Male,IT Professional,Monthly,15/02/2018,1,30,0,1,1,5/01/2018,Door to Door,0
67,Female,Health Professional,Monthly,15/02/2018,1,30,0,0,1,5/01/2018,Door to Door,0
38,Female,Consultant,Monthly,1/04/2018,1,40,0,1,1,5/01/2018,Door to Door,0
37,Male,Other,Monthly,1/03/2018,1,25,0,0,1,5/01/2018,Door to Door,0
28,Male,Machine Operator,Monthly,15/02/2018,1,30,0,0,1,5/01/2018,Door to Door,1
29,Male,Machine Operator,Monthly,15/02/2018,1,25,0,0,1,5/01/2018,Door to Door,1
33,Female,Automotive Worker,Monthly,15/02/2018,1,30,0,0,1,5/01/2018,Door to Door,1
49,Male,Hospitality Worker,Monthly,15/02/2018,1,30,0,1,1,6/01/2018,Door to Door,0
40,Female,Other,Monthly,15/02/2018,1,30,0,1,1,6/01/2018,Door to Door,0
28,Male,Retail Worker,Monthly,15/02/2018,1,20,0,1,1,6/01/2018,Door to Door,0
65,Female,Carer,Monthly,15/02/2018,1,25,0,1,1,6/01/2018,Door to Door,0
32,Male,Other,Monthly,15/02/2018,1,30,0,1,1,6/01/2018,Door to Door,1
51,Male,Photograper ,Monthly,20/02/2018,1,30,0,1,1,8/01/2018,Door to Door,0
87,Female,Other,Monthly,1/02/2018,1,20,0,1,1,8/01/2018,Street,0
24,Female,Barista,Monthly,20/02/2018,1,25,0,1,1,8/01/2018,Street,0
43,Female,Accounting,Monthly,16/02/2018,1,40,0,1,1,8/01/2018,Door to Door,0
41,Male,Project manager,Monthly,26/01/2018,1,30,0,0,1,8/01/2018,Street,0
60,Female,Carer,Monthly,1/02/2018,1,20,0,1,1,8/01/2018,Door to Door,0
59,Male,Sales Representative,Monthly,1/02/2018,1,30,0,1,1,8/01/2018,Door to Door,0
53,Female,IT & T,Monthly,16/02/2018,1,30,0,1,1,8/01/2018,Door to Door,0
44,Male,IT Professional,Monthly,1/02/2018,1,35,0,1,1,8/01/2018,Door to Door,0
37,Male,Engineering,Monthly,1/02/2018,1,40,0,1,1,8/01/2018,Door to Door,0
56,Female,Teacher,Monthly,1/03/2018,1,30,0,0,1,8/01/2018,Door to Door,1
26,Female,Engineering,Monthly,16/02/2018,1,30,0,1,1,8/01/2018,Street,1
25,Male,Construction,Monthly,1/03/2018,1,30,0,1,1,9/01/2018,Door to Door,0
42,Female,IT,Monthly,15/02/2018,1,30,1,1,1,9/01/2018,Street,0
34,Female,Health Professional ,Monthly,15/02/2018,1,30,0,1,1,9/01/2018,Street,0
101,Male,Labourer,Monthly,1/02/2018,1,38,0,1,1,9/01/2018,Street,0
45,Male,Sales,Monthly,15/01/2018,1,30,1,1,1,9/01/2018,Street,0
31,Male,Construction ,Monthly,1/02/2018,1,30,1,1,1,9/01/2018,Street,0
65,Male,Bookkeeper,Monthly,1/02/2018,1,20,0,0,1,9/01/2018,Door to Door,0
32,Male,Musician,Monthly,1/02/2018,1,20,0,0,1,9/01/2018,Door to Door,0
36,Male,Chef,Monthly,1/02/2018,1,25,0,0,1,9/01/2018,Door to Door,0
28,Female,Musician,Monthly,1/02/2018,1,25,0,0,1,9/01/2018,Door to Door,0
32,Male,Manager,Monthly,25/01/2018,1,30,0,1,1,9/01/2018,Street,1
26,Male,Hospitality /cafe ,Monthly,1/03/2018,1,30,0,1,1,9/01/2018,Street,1
24,Female,Apprentice ,Monthly,20/02/2018,1,30,0,1,1,9/01/2018,Street,1
32,Female,Health Professional,Monthly,1/02/2018,1,25,0,0,1,9/01/2018,Door to Door,1
24,Female,Cashier ,Monthly,1/03/2018,1,25,0,1,1,9/01/2018,Street,1
28,Male,Engineering,Monthly,1/02/2018,1,40,0,1,1,9/01/2018,Street,1
69,Female,Librarian,Monthly,1/02/2018,1,25,0,0,1,10/01/2018,Street,0
28,Male,Photographer,Monthly,1/02/2018,1,30,0,1,1,10/01/2018,Street,0
41,Male,Software engineer ,Monthly,1/02/2018,1,30,1,1,1,10/01/2018,Street,0
30,Female,Baker,Monthly,1/02/2018,1,30,0,0,1,10/01/2018,Door to Door,0
53,Female,Law assistant ,Monthly,1/02/2018,1,30,0,1,0,10/01/2018,Street,0
28,Male,Other,Monthly,1/02/2018,1,40,0,1,1,10/01/2018,Door to Door,0
25,Male,Security consultant,Monthly,1/02/2018,1,30,0,1,1,10/01/2018,Street,0
36,Female,Health Professional,Monthly,1/02/2018,1,35,0,1,1,10/01/2018,Door to Door,0
40,Male,Construction Worker,Monthly,1/02/2018,1,25,0,1,1,10/01/2018,Door to Door,0
38,Female,ICT Professional ,Monthly,1/02/2018,1,30,1,1,1,10/01/2018,Street,0
44,Female,IT Professional,Monthly,1/02/2018,1,30,0,1,1,10/01/2018,Door to Door,0
56,Female,Other,Monthly,1/02/2018,1,30,0,1,1,10/01/2018,Door to Door,0
40,Female,Arts Professional,Monthly,1/02/2018,1,30,0,1,1,10/01/2018,Door to Door,0
50,Male,Accountant,Monthly,1/02/2018,1,25,0,1,1,10/01/2018,Door to Door,0
30,Female,Manager,Monthly,1/02/2018,1,30,0,1,1,10/01/2018,Door to Door,0
66,Male,Horticultural Worker,Monthly,1/02/2018,1,30,0,1,1,10/01/2018,Door to Door,0
38,Male,IT & T,Monthly,1/03/2018,1,25,0,1,1,10/01/2018,Door to Door,0
37,Male,Automotive Worker,Monthly,1/02/2018,1,35,0,1,1,10/01/2018,Door to Door,0
38,Male,Accountant,Monthly,20/02/2018,1,30,0,1,1,10/01/2018,Street,1
35,Female, Receptionist ,Monthly,1/03/2018,1,30,0,0,1,10/01/2018,Street,1
34,Female,Personal assistant ,Monthly,1/03/2018,1,25,0,1,1,10/01/2018,Street,1
34,Female,Social Worker,Monthly,1/02/2018,1,38,0,1,1,10/01/2018,Door to Door,1
58,Male,Accountant,Monthly,1/02/2018,1,30,0,1,1,10/01/2018,Door to Door,1
50,Female,Health Professional,Monthly,1/02/2018,1,25,0,1,1,10/01/2018,Door to Door,1
58,Female,Sales,Monthly,1/03/2018,1,30,0,0,1,11/01/2018,Door to Door,0
38,Female,Other,Monthly,16/02/2018,1,38,0,1,1,11/01/2018,Street,0
30,Female,Management,Monthly,1/03/2018,1,30,0,0,1,11/01/2018,Door to Door,0
29,Female,Council,Monthly,1/03/2018,1,30,0,0,1,11/01/2018,Door to Door,0
41,Male,Construction,Monthly,1/02/2018,1,30,0,1,1,11/01/2018,Street,0
26,Female,Hospitality / Chef,Monthly,1/02/2018,1,35,0,1,1,11/01/2018,Door to Door,0
30,Male,Cleaner,Monthly,1/02/2018,1,30,0,0,1,11/01/2018,Door to Door,0
29,Female,Network Manager,Monthly,1/03/2018,1,30,0,0,1,11/01/2018,Door to Door,0
29,Male,Teacher,Monthly,1/03/2018,1,30,0,0,1,11/01/2018,Door to Door,0
41,Male,IT Professional,Monthly,1/02/2018,1,35,0,1,1,11/01/2018,Door to Door,0
24,Male,Hospitality / Chef,Monthly,1/02/2018,1,30,0,1,1,11/01/2018,Street,0
26,Female,IT Orifessional,Monthly,1/02/2018,1,25,0,1,1,11/01/2018,Street,0
45,Male,IT Professional,Monthly,1/02/2018,1,30,0,1,1,11/01/2018,Door to Door,0
35,Male,IT Professional,Monthly,15/02/2018,1,25,0,1,1,11/01/2018,Door to Door,0
46,Female,Sales & Marketing,Monthly,1/02/2018,1,25,0,1,1,11/01/2018,Door to Door,0
52,Male,Finance Worker,Monthly,1/02/2018,1,38,0,1,1,11/01/2018,Door to Door,0
30,Female,Foreign Exchange,Monthly,21/01/2018,1,25,0,1,1,11/01/2018,Street,1
24,Female,Home Executive ,Monthly,15/02/2018,1,30,0,1,1,11/01/2018,Street,1
27,Female,Freelance,Monthly,1/03/2018,1,30,0,1,1,11/01/2018,Door to Door,1
30,Male,Teacher,Monthly,1/03/2018,1,30,0,1,1,11/01/2018,Street,1
27,Male,Costumer aervice // fuel station,Monthly,1/02/2018,1,30,0,1,1,11/01/2018,Street,1
29,Female,Case managment ,Monthly,1/03/2018,1,25,0,1,1,11/01/2018,Street,1
56,Male,Traffic Controller,Monthly,22/01/2018,1,30,0,0,1,12/01/2018,Street,0
32,Male,Civil engineer,Monthly,1/03/2018,1,30,0,1,1,12/01/2018,Street,0
25,Male,Manager,Monthly,1/02/2018,1,30,1,1,1,12/01/2018,Street,0
33,Female,Architect,Monthly,15/02/2018,1,50,1,1,1,12/01/2018,Street,0
42,Male,IT,Monthly,1/03/2018,1,30,0,1,1,12/01/2018,Door to Door,0
35,Male,Climbing instructor,Monthly,1/02/2018,1,30,1,1,1,12/01/2018,Street,0
50,Male,Age care,Monthly,1/02/2018,1,30,1,1,1,12/01/2018,Street,0
58,Male,Construction ,Monthly,1/02/2018,1,30,1,1,1,12/01/2018,Street,0
51,Male,Technical consultant,Monthly,20/02/2018,1,30,0,1,1,12/01/2018,Door to Door,0
57,Female,Retail,Monthly,1/02/2018,1,30,0,1,1,12/01/2018,Door to Door,0
39,Male,bussinessman,Monthly,22/01/2018,1,30,0,1,1,12/01/2018,Street,0
53,Male,Lecturer ,Monthly,1/02/2018,1,30,1,1,1,12/01/2018,Street,0
49,Male,Engineer,Monthly,1/02/2018,1,20,0,1,1,12/01/2018,Door to Door,0
33,Male,IT Professional,Monthly,1/02/2018,1,25,0,1,1,12/01/2018,Door to Door,0
